,Month,Price,Change
176,Sep 2006,136.17,-13.05 
177,Oct 2006,127.44,-6.41 
178,Nov 2006,126.58,-0.67 
179,Dec 2006,131.15,3.61 
180,Jan 2007,116.85,-10.90 
181,Feb 2007,124.72,6.74 
182,Mar 2007,130.38,4.54 
183,Apr 2007,138.96,6.58 
184,May 2007,139.33,0.27 
185,Jun 2007,146.3,5.00 
186,Jul 2007,155.94,6.59 
187,Aug 2007,148.7,-4.64 
188,Sep 2007,161.06,8.31 
189,Oct 2007,170.51,5.87 
190,Nov 2007,186.79,9.55 
191,Dec 2007,184.68,-1.13 
192,Jan 2008,185.82,0.62 
193,Feb 2008,190.65,2.60 
194,Mar 2008,202.05,5.98 
195,Apr 2008,215.5,6.66 
196,May 2008,245.1,13.74 
197,Jun 2008,263.49,7.50 
198,Jul 2008,264.61,0.43 
199,Aug 2008,234.58,-11.35 
200,Sep 2008,208.16,-11.26 
201,Oct 2008,155.62,-25.24 
202,Nov 2008,117.93,-24.22 
203,Dec 2008,87.29,-25.98 
204,Jan 2009,93.86,7.53 
205,Feb 2009,91.37,-2.65 
206,Mar 2009,102.36,12.03 
207,Apr 2009,109.58,7.05 
208,May 2009,124.15,13.30 
209,Jun 2009,145.27,17.01 
210,Jul 2009,135.32,-6.85 
211,Aug 2009,148.97,10.09 
212,Sep 2009,140.53,-5.67 
213,Oct 2009,151.23,7.61 
214,Nov 2009,157.29,4.01 
215,Dec 2009,153.71,-2.28 
216,Jan 2010,160.03,4.11 
217,Feb 2010,157.63,-1.50 
218,Mar 2010,168.42,6.85 
219,Apr 2010,179.93,6.83 
220,May 2010,165.69,-7.91 
221,Jun 2010,165.14,-0.33 
222,Jul 2010,160.71,-2.68 
223,Aug 2010,162.19,0.92 
224,Sep 2010,161.72,-0.29 
225,Oct 2010,168.87,4.42 
226,Nov 2010,175.61,3.99 
227,Dec 2010,190.3,8.37 
228,Jan 2011,194.39,2.15 
229,Feb 2011,202.93,4.39 
230,Mar 2011,223.07,9.92 
231,Apr 2011,236.05,5.82 
232,May 2011,219.71,-6.92 
233,Jun 2011,214.77,-2.25 
234,Jul 2011,219.52,2.21 
235,Aug 2011,203.03,-7.51 
236,Sep 2011,208.9,2.89 
237,Oct 2011,206.16,-1.31 
238,Nov 2011,218.33,5.90 
239,Dec 2011,218.88,0.25 
240,Jan 2012,225.89,3.20 
241,Feb 2012,236.12,4.53 
242,Mar 2012,248.16,5.10 
243,Apr 2012,239.28,-3.58 
244,May 2012,220.83,-7.71 
245,Jun 2012,194.36,-11.99 
246,Jul 2012,208.47,7.26 
247,Aug 2012,225.86,8.34 
248,Sep 2012,224.39,-0.65 
249,Oct 2012,217.89,-2.90 
250,Nov 2012,214.74,-1.45 
251,Dec 2012,213.42,-0.61 
252,Jan 2013,222.01,4.02 
253,Feb 2013,228.81,3.06 
254,Mar 2013,221.55,-3.17 
255,Apr 2013,213.31,-3.72 
256,May 2013,215.01,0.80 
257,Jun 2013,213.78,-0.57 
258,Jul 2013,226.91,6.14 
259,Aug 2013,230.85,1.74 
260,Sep 2013,231.74,0.39 
261,Oct 2013,222.32,-4.06 
262,Nov 2013,217.61,-2.12 
263,Dec 2013,222.57,2.28 
264,Jan 2014,216.11,-2.90 
265,Feb 2014,220.88,2.21 
266,Mar 2014,218.15,-1.24 
267,Apr 2014,219.95,0.83 
268,May 2014,221.71,0.80 
269,Jun 2014,228.16,2.91 
270,Jul 2014,221.56,-2.89 
271,Aug 2014,212.79,-3.96 
272,Sep 2014,207.61,-2.43 
273,Oct 2014,188.07,-9.41 
274,Nov 2014,170.23,-9.49 
275,Dec 2014,134.86,-20.78 
276,Jan 2015,108.34,-19.66 
277,Feb 2015,126.23,16.51 
278,Mar 2015,123.82,-1.91 
279,Apr 2015,134.67,8.76 
280,May 2015,144.43,7.25 
281,Jun 2015,141.63,-1.94 
282,Jul 2015,126.59,-10.62 
283,Aug 2015,105.85,-16.38 
284,Sep 2015,106.8,0.90 
285,Oct 2015,108.35,1.45 
286,Nov 2015,101.21,-6.59 
287,Dec 2015,85.53,-15.49 
288,Jan 2016,70.15,-17.98 
289,Feb 2016,72.26,3.01 
290,Mar 2016,86.75,20.05 
291,Apr 2016,93.79,8.12 
292,May 2016,105.65,12.65 
293,Jun 2016,109.86,3.98 
294,Jul 2016,103.17,-6.09 
295,Aug 2016,103.94,0.75 
296,Sep 2016,104.46,0.50 
297,Oct 2016,115.85,10.90 
298,Nov 2016,107.41,-7.29 
299,Dec 2016,126.7,17.96 
300,Jan 2017,128.75,1.62 
301,Feb 2017,130.13,1.07 
302,Mar 2017,121.94,-6.29 
303,Apr 2017,124.52,2.12 
304,May 2017,117.84,-5.36 
305,Jun 2017,108.21,-8.17 
306,Jul 2017,110.83,2.42 
307,Aug 2017,114.85,3.63 
308,Sep 2017,120.9,5.27 
309,Oct 2017,126.43,4.57 
310,Nov 2017,138.15,9.27 
311,Dec 2017,140.34,1.59 
312,Jan 2018,149.22,6.33 
313,Feb 2018,141.81,-4.97 
314,Mar 2018,143.34,1.08 
315,Apr 2018,153.86,7.34 
316,May 2018,167.08,8.59 
317,Jun 2018,165.24,-1.10 
318,Jul 2018,167.92,1.62 
319,Aug 2018,165.28,-1.57 
320,Sep 2018,174.66,5.68 
321,Oct 2018,179.06,2.52 
322,Nov 2018,146.29,-18.30 
323,Dec 2018,126.08,-13.82 
324,Jan 2019,131.42,4.24 
325,Feb 2019,142.53,8.45 
326,Mar 2019,148.86,4.44 
327,Apr 2019,160.45,7.79 
328,May 2019,157.12,-2.08 
329,Jun 2019,139.92,-10.95 
330,Jul 2019,144.45,3.24 
331,Aug 2019,136.17,-5.73 
332,Sep 2019,142.33,4.52 
333,Oct 2019,135.55,-4.76 
334,Nov 2019,142.6,5.20 
335,Dec 2019,149.22,4.64 
336,Jan 2020,145.14,-2.73 
337,Feb 2020,126.53,-12.82 
338,Mar 2020,76.22,-39.76 
339,Apr 2020,50.45,-33.81 
